movie,year,imdb,metascore,votes,certificate,showtime(mins),genre,summary
Pirates of the Caribbean: On Stranger Tides,(2011),6.6,45,434237,PG-13,136,"Action, Adventure, Fantasy            ","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.            "
"Crazy, Stupid, Love.",(2011),7.4,68,426524,PG-13,118,"Comedy, Drama, Romance            ","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.            "
The Hangover Part II,(2011),6.5,44,421444,R,102,"Comedy, Mystery            ","Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.            "
Mission: Impossible - Ghost Protocol,(2011),7.4,73,415493,PG-13,132,"Action, Adventure, Thriller            ","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.            "
Warrior,(2011),8.2,71,392791,PG-13,140,"Drama, Sport            ","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.            "
Horrible Bosses,(2011),6.9,57,390652,R,98,"Comedy, Crime            ",Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.            
Sherlock Holmes: A Game of Shadows,(2011),7.5,48,383869,PG-13,129,"Action, Adventure, Crime            ","Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.            "
The Help,(2011),8.1,62,380392,PG-13,146,Drama            ,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.            "
The Girl with the Dragon Tattoo,(2011),7.8,71,377256,R,158,"Crime, Drama, Mystery            ","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.            "
Transformers: Dark of the Moon,(2011),6.3,42,358425,PG-13,154,"Action, Adventure, Sci-Fi            ","The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.            "
Midnight in Paris,(2011),7.7,81,346910,PG-13,94,"Comedy, Fantasy, Romance            ","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.            "
In Time,(2011),6.7,53,338892,PG-13,109,"Action, Sci-Fi, Thriller            ","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.            "
Fast Five,(2011),7.3,66,321574,PG-13,130,"Action, Crime, Thriller            ",Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.            
Moneyball,(2011),7.6,87,317966,PG-13,133,"Biography, Drama, Sport            ",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.            
Super 8,(2011),7.0,72,314958,PG-13,112,"Mystery, Sci-Fi, Thriller            ","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.            "
Friends with Benefits,(2011),6.6,63,308743,R,109,"Comedy, Romance            ","A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.            "
50/50,(2011),7.7,72,295623,R,100,"Comedy, Drama, Romance            ","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.            "
Real Steel,(2011),7.1,56,279084,PG-13,127,"Action, Drama, Family            ","In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.            "
Hugo,(2011),7.5,83,277869,PG,126,"Adventure, Drama, Family            ","In Paris in 1931, an orphan named Hugo Cabret, who lives in the walls of a train station, is wrapped up in a mystery involving his late father and an automaton.            "
Green Lantern,(2011),5.5,39,246966,PG-13,114,"Action, Adventure, Sci-Fi            ","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.            "
Bridesmaids,(I) (2011),6.8,75,244017,R,125,"Comedy, Romance            ","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.            "
Unknown,(I) (2011),6.9,56,230533,PG-13,113,"Action, Mystery, Thriller            ","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.            "
The Grey,(2011),6.8,64,224326,R,117,"Action, Adventure, Drama            ","After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step.            "
The Adjustment Bureau,(2011),7.1,60,222549,PG-13,106,"Romance, Sci-Fi, Thriller            ",The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart.            
The Descendants,(2011),7.3,84,220411,R,115,"Comedy, Drama            ",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.            
Kung Fu Panda 2,(2011),7.2,67,218461,PG,90,"Animation, Action, Adventure            ","Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.            "
Paul,(2011),7.0,57,215268,R,104,"Adventure, Comedy, Sci-Fi            ",Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51.            
Sucker Punch,(2011),6.1,33,214751,PG-13,110,"Action, Fantasy            ","A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.            "
I Am Number Four,(2011),6.1,36,213686,PG-13,111,"Action, Adventure, Sci-Fi            ","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.            "
The Artist,(I) (2011),7.9,89,212928,PG-13,100,"Comedy, Drama, Romance            ",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.            
Rango,(2011),7.2,75,209631,PG,107,"Animation, Adventure, Comedy            ","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.            "
The Ides of March,(2011),7.1,67,204692,R,101,"Drama, Thriller            ",An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.            
The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45,202627,PG-13,117,"Adventure, Drama, Fantasy            ","The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.            "
The Adventures of Tintin,(2011),7.3,68,197798,PG,107,"Animation, Action, Adventure            ",Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.            
Contagion,(2011),6.6,70,197620,PG-13,106,"Drama, Thriller            ","Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.            "
Just Go with It,(2011),6.4,33,195390,PG-13,117,"Comedy, Romance            ","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.            "
Harry Potter and the Deathly Hallows: Part 2,(2011),8.1,87,664965,PG-13,130,"Adventure, Drama, Fantasy            ","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.            "
Thor,(2011),7.0,57,643576,PG-13,115,"Action, Adventure, Fantasy            ","The powerful, but arrogant god Thor, is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.            "
The Intouchables,(2011),8.5,57,642683,R,112,"Biography, Comedy, Drama            ","After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.            "
Captain America: The First Avenger,(2011),6.9,66,622623,PG-13,124,"Action, Adventure, Sci-Fi            ","Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a ""Super-Soldier serum"". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.            "
X-Men: First Class,(2011),7.7,65,590862,PG-13,131,"Action, Adventure, Sci-Fi            ","In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.            "
Drive,(I) (2011),7.8,78,505587,R,100,"Crime, Drama            ",A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.            
Limitless,(I) (2011),7.4,59,478148,PG-13,105,"Mystery, Sci-Fi, Thriller            ","With the help of a mysterious pill that enables the user to access one hundred percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.            "
Rise of the Planet of the Apes,(2011),7.6,68,462896,PG-13,105,"Action, Drama, Sci-Fi            ",A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.            
Source Code,(2011),7.5,74,439765,PG-13,93,"Mystery, Romance, Sci-Fi            ",A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.            
Pirates of the Caribbean: On Stranger Tides,(2011),6.6,45,434237,PG-13,136,"Action, Adventure, Fantasy            ","Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.            "
"Crazy, Stupid, Love.",(2011),7.4,68,426524,PG-13,118,"Comedy, Drama, Romance            ","A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars.            "
The Hangover Part II,(2011),6.5,44,421444,R,102,"Comedy, Mystery            ","Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.            "
Mission: Impossible - Ghost Protocol,(2011),7.4,73,415493,PG-13,132,"Action, Adventure, Thriller            ","The IMF is shut down when it's implicated in the bombing of the Kremlin, causing Ethan Hunt and his new team to go rogue to clear their organization's name.            "
Warrior,(2011),8.2,71,392791,PG-13,140,"Drama, Sport            ","The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.            "
Horrible Bosses,(2011),6.9,57,390652,R,98,"Comedy, Crime            ",Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.            
Sherlock Holmes: A Game of Shadows,(2011),7.5,48,383869,PG-13,129,"Action, Adventure, Crime            ","Sherlock Holmes and his sidekick Dr. Watson join forces to outwit and bring down their fiercest adversary, Professor Moriarty.            "
The Help,(2011),8.1,62,380392,PG-13,146,Drama            ,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.            "
The Girl with the Dragon Tattoo,(2011),7.8,71,377256,R,158,"Crime, Drama, Mystery            ","Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.            "
Transformers: Dark of the Moon,(2011),6.3,42,358425,PG-13,154,"Action, Adventure, Sci-Fi            ","The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets.            "
Midnight in Paris,(2011),7.7,81,346910,PG-13,94,"Comedy, Fantasy, Romance            ","While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s everyday at midnight.            "
In Time,(2011),6.7,53,338892,PG-13,109,"Action, Sci-Fi, Thriller            ","In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system.            "
Fast Five,(2011),7.3,66,321574,PG-13,130,"Action, Crime, Thriller            ",Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.            
Moneyball,(2011),7.6,87,317966,PG-13,133,"Biography, Drama, Sport            ",Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.            
Super 8,(2011),7.0,72,314958,PG-13,112,"Mystery, Sci-Fi, Thriller            ","During the summer of 1979, a group of friends witness a train crash and investigate subsequent unexplained events in their small town.            "
Friends with Benefits,(2011),6.6,63,308743,R,109,"Comedy, Romance            ","A young man and woman decide to take their friendship to the next level without becoming a couple, but soon discover that adding sex only leads to complications.            "
50/50,(2011),7.7,72,295623,R,100,"Comedy, Drama, Romance            ","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.            "
Real Steel,(2011),7.1,56,279084,PG-13,127,"Action, Drama, Family            ","In the near future, robot boxing is a top sport. A struggling promoter feels he's found a champion in a discarded robot.            "
Hugo,(2011),7.5,83,277869,PG,126,"Adventure, Drama, Family            ","In Paris in 1931, an orphan named Hugo Cabret, who lives in the walls of a train station, is wrapped up in a mystery involving his late father and an automaton.            "
Green Lantern,(2011),5.5,39,246966,PG-13,114,"Action, Adventure, Sci-Fi            ","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.            "
Bridesmaids,(I) (2011),6.8,75,244017,R,125,"Comedy, Romance            ","Competition between the maid of honor and a bridesmaid, over who is the bride's best friend, threatens to upend the life of an out-of-work pastry chef.            "
Unknown,(I) (2011),6.9,56,230533,PG-13,113,"Action, Mystery, Thriller            ","A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.            "
The Grey,(2011),6.8,64,224326,R,117,"Action, Adventure, Drama            ","After their plane crashes in Alaska, six oil workers are led by a skilled huntsman to survival, but a pack of merciless wolves haunts their every step.            "
The Adjustment Bureau,(2011),7.1,60,222549,PG-13,106,"Romance, Sci-Fi, Thriller            ",The affair between a politician and a contemporary dancer is affected by mysterious forces keeping the lovers apart.            
The Descendants,(2011),7.3,84,220411,R,115,"Comedy, Drama            ",A land baron tries to reconnect with his two daughters after his wife is seriously injured in a boating accident.            
Kung Fu Panda 2,(2011),7.2,67,218461,PG,90,"Animation, Action, Adventure            ","Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past.            "
Paul,(2011),7.0,57,215268,R,104,"Adventure, Comedy, Sci-Fi            ",Two English comic book geeks traveling across the U.S. encounter an alien outside Area 51.            
Sucker Punch,(2011),6.1,33,214751,PG-13,110,"Action, Fantasy            ","A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.            "
I Am Number Four,(2011),6.1,36,213686,PG-13,111,"Action, Adventure, Sci-Fi            ","Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.            "
The Artist,(I) (2011),7.9,89,212928,PG-13,100,"Comedy, Drama, Romance            ",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.            
Rango,(2011),7.2,75,209631,PG,107,"Animation, Adventure, Comedy            ","Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.            "
The Ides of March,(2011),7.1,67,204692,R,101,"Drama, Thriller            ",An idealistic staffer for a new presidential candidate gets a crash course on dirty politics during his stint on the campaign trail.            
The Twilight Saga: Breaking Dawn - Part 1,(2011),4.9,45,202627,PG-13,117,"Adventure, Drama, Fantasy            ","The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks.            "
The Adventures of Tintin,(2011),7.3,68,197798,PG,107,"Animation, Action, Adventure            ",Intrepid reporter Tintin and Captain Haddock set off on a treasure hunt for a sunken ship commanded by Haddock's ancestor.            
Contagion,(2011),6.6,70,197620,PG-13,106,"Drama, Thriller            ","Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure.            "
Just Go with It,(2011),6.4,33,195390,PG-13,117,"Comedy, Romance            ","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.            "
The Dark Knight Rises,(2012),8.4,78,1341237,PG-13,164,"Action, Thriller            ","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.            "
Django Unchained,(2012),8.4,81,1162758,R,165,"Drama, Western            ","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.            "
The Avengers,(2012),8.1,69,1132726,PG-13,143,"Action, Adventure, Sci-Fi            ",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.            
The Hunger Games,(2012),7.2,68,778552,PG-13,142,"Adventure, Sci-Fi, Thriller            ",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.            
The Hobbit: An Unexpected Journey,(2012),7.9,58,705040,PG-13,169,"Adventure, Family, Fantasy            ","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.            "
Silver Linings Playbook,(2012),7.7,81,605188,R,122,"Comedy, Drama, Romance            ","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.            "
Skyfall,(2012),7.8,81,579487,PG-13,143,"Action, Adventure, Thriller            ","Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.            "
Prometheus,(I) (2012),7.0,64,527281,R,124,"Adventure, Mystery, Sci-Fi            ","Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.            "
Ted,(2012),6.9,62,525885,R,106,"Comedy, Fantasy, Romance            ","John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.            "
Argo,(2012),7.7,86,521195,R,120,"Biography, Drama, Thriller            ","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.            "
Life of Pi,(2012),7.9,79,515939,PG,127,"Adventure, Drama, Fantasy            ","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.            "
The Amazing Spider-Man,(2012),7.0,66,510736,PG-13,136,"Action, Adventure, Sci-Fi            ","After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.            "
Looper,(2012),7.4,84,487218,R,113,"Action, Crime, Drama            ","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.            "
21 Jump Street,(2012),7.2,69,465237,R,109,"Action, Comedy, Crime            ",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.            
The Perks of Being a Wallflower,(2012),8.0,67,411542,PG-13,103,"Drama, Romance            ",An introvert freshman is taken under the wings of two seniors who welcome him to the real world.            
The Cabin in the Woods,(2012),7.0,72,327369,R,95,"Comedy, Horror            ","Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.            "
Brave,(2012),7.1,69,324269,PG,93,"Animation, Adventure, Comedy            ","Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.            "
Wreck-It Ralph,(2012),7.7,72,320697,PG,101,"Animation, Adventure, Comedy            ","A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.            "
Cloud Atlas,(2012),7.5,55,319796,R,172,"Action, Drama, Mystery            ","An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.            "
Men in Black 3,(2012),6.8,58,298693,PG-13,106,"Action, Adventure, Comedy            ",Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.            
Flight,(I) (2012),7.3,76,295093,R,138,"Drama, Thriller            ","An airline pilot saves almost all his passengers on his malfunctioning airliner which eventually crashed, but an investigation into the accident reveals something troubling.            "
Moonrise Kingdom,(2012),7.8,84,282596,PG-13,94,"Adventure, Comedy, Drama            ","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.            "
Les Misérables,(2012),7.6,63,277778,PG-13,158,"Drama, History, Musical            ","In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.            "
Jack Reacher,(2012),7.0,50,275921,PG-13,130,"Action, Crime, Thriller            ",A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.            
The Expendables 2,(2012),6.6,51,271955,R,103,"Action, Adventure, Thriller            ","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat.            "
Taken 2,(2012),6.3,45,266720,PG-13,92,"Action, Crime, Thriller            ","In Istanbul, retired CIA operative Bryan Mills and his wife are taken hostage by the father of a kidnapper Mills killed while rescuing his daughter.            "
The Bourne Legacy,(2012),6.7,61,262345,PG-13,135,"Action, Adventure, Thriller            ","An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.            "
Snow White and the Huntsman,(2012),6.1,57,253717,PG-13,127,"Action, Adventure, Drama            ","In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen.            "
Pitch Perfect,(2012),7.2,66,247774,PG-13,112,"Comedy, Music, Romance            ","Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.            "
The Dictator,(2012),6.4,58,243826,R,83,Comedy            ,The heroic story of a dictator who risked his life to ensure that democracy would never come to the country he so lovingly oppressed.            
Zero Dark Thirty,(2012),7.4,95,243811,R,157,"Drama, Thriller            ","A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.            "
John Carter,(2012),6.6,51,234005,PG-13,132,"Action, Adventure, Sci-Fi            ","Transported to Barsoom, a Civil War vet discovers a barren planet seemingly inhabited by 12-foot tall barbarians. Finding himself prisoner of these creatures, he escapes, only to encounter Woola and a princess in desperate need of a savior.            "
Dredd,(2012),7.1,60,229636,R,95,"Action, Crime, Sci-Fi            ","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.            "
The Hunt,(2012),8.3,77,229344,R,115,Drama            ,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.            "
Chronicle,(2012),7.1,69,225301,PG-13,84,"Drama, Sci-Fi, Thriller            ",Three high school friends gain superpowers after making an incredible discovery underground. Soon they find their lives spinning out of control and their bond tested as they embrace their darker sides.            
Total Recall,(I) (2012),6.3,43,223890,PG-13,118,"Action, Adventure, Mystery            ","A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Recall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run.            "
Dark Shadows,(2012),6.2,55,223750,PG-13,113,"Comedy, Fantasy, Horror            ","An imprisoned vampire, Barnabas Collins, is set free and returns to his ancestral home, where his dysfunctional descendants are in need of his protection.            "
Lincoln,(2012),7.4,86,223481,PG-13,150,"Biography, Drama, History            ","As the American Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.            "
Battleship,(2012),5.8,41,221981,PG-13,131,"Action, Adventure, Sci-Fi            ",A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.            
The Place Beyond the Pines,(2012),7.3,68,220054,R,140,"Crime, Drama, Thriller            ","A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.            "
Seven Psychopaths,(2012),7.2,66,217098,R,110,"Comedy, Crime            ",A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu.            
Lawless,(2012),7.3,58,209393,R,116,"Crime, Drama            ","Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.            "
The Twilight Saga: Breaking Dawn - Part 2,(2012),5.5,52,208588,PG-13,115,"Adventure, Drama, Fantasy            ","After the birth of Renesmee/Nessie, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.            "
End of Watch,(2012),7.6,68,206617,R,109,"Action, Crime, Drama            ","Shot documentary-style, this film follows the daily grind of two young police officers in LA who are partners and friends, and what happens when they meet criminal forces greater than themselves.            "
Hotel Transylvania,(2012),7.1,47,197468,PG,91,"Animation, Comedy, Family            ","Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.            "
Sinister,(I) (2012),6.8,53,191733,R,110,"Horror, Mystery, Thriller            ",Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.            
American Reunion,(2012),6.7,49,188365,R,113,Comedy            ,"Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion.            "
Safe House,(III),6.8,52,187305,R,115,"Action, Adventure, Crime            ","A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.            "
Project X,(2012),6.7,48,174011,R,88,Comedy            ,"3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.            "
The Dark Knight Rises,(2012),8.4,78,1341237,PG-13,164,"Action, Thriller            ","Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane.            "
Django Unchained,(2012),8.4,81,1162758,R,165,"Drama, Western            ","With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.            "
The Avengers,(2012),8.1,69,1132726,PG-13,143,"Action, Adventure, Sci-Fi            ",Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.            
The Hunger Games,(2012),7.2,68,778552,PG-13,142,"Adventure, Sci-Fi, Thriller            ",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.            
The Hobbit: An Unexpected Journey,(2012),7.9,58,705040,PG-13,169,"Adventure, Family, Fantasy            ","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.            "
Silver Linings Playbook,(2012),7.7,81,605188,R,122,"Comedy, Drama, Romance            ","After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.            "
Skyfall,(2012),7.8,81,579487,PG-13,143,"Action, Adventure, Thriller            ","Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.            "
